participantID,P_N,P_S,NP_N,NP_S
1,2.5,2.9,2,2.1666666666666665
2,3.2666666666666666,3.5,2.466666666666667,2.433333333333333
3,1.7,1.4,1.8,1.7666666666666666
4,3.533333333333333,3.2666666666666666,2.3,2.3666666666666667
5,4.666666666666667,4.666666666666667,2.8666666666666667,3.7333333333333334
6,2.1333333333333333,2.3333333333333335,1.9,1.8
7,4.066666666666666,3.466666666666667,3.1,3.1
8,2.8,2.7,2.8333333333333335,3.6333333333333333
9,2.033333333333333,2,2.2,2.2
10,2.3333333333333335,3.2333333333333334,2.3666666666666667,3.3666666666666667
11,2.6333333333333333,4.166666666666667,2.3,3.8
12,4.033333333333333,3.7333333333333334,4.233333333333333,4.433333333333334
13,2.066666666666667,2.1,2.3,2
14,3.3666666666666667,3.066666666666667,3.2,3.6333333333333333
15,4.533333333333333,4.766666666666667,3.6,4.9
16,3.4,3.3666666666666667,3.033333333333333,3.2666666666666666
17,2.466666666666667,4.033333333333333,3.8333333333333335,4.933333333333334
18,3.9,4.066666666666666,2.8666666666666667,3.566666666666667
19,3.8666666666666667,6.066666666666666,2.8666666666666667,5.4
20,3.566666666666667,3.566666666666667,3.2666666666666666,3.4
21,2.7666666666666666,3.033333333333333,2.7666666666666666,3.033333333333333
22,2.8,2.7666666666666666,1.2666666666666666,2.6
23,2.4,2.2,1.4333333333333333,1.9666666666666666
24,3.3666666666666667,3.7,2.7,3.4
25,4,4.033333333333333,1.2,1.2
26,3.1,3.6,3,2.8
27,4.033333333333333,3.7333333333333334,3.7333333333333334,4.333333333333333
28,2,2,4,4
29,3.6666666666666665,4.066666666666666,2.1666666666666665,3.066666666666667
30,3.6333333333333333,5.3,2.8,3.2666666666666666
31,3.8566666666666665,4.5,2.688888888888889,2.4
32,3.1770967741935485,3.4623655913978495,2.6802867383512545,3.160215053763441
33,3.1770967741935485,3.4623655913978495,2.6802867383512545,3.160215053763441
34,3.1770967741935485,3.4623655913978495,2.6802867383512545,3.160215053763441
